,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
10639,none,As the war of Panem escalates to the destruction of other districts; Katniss Everdeen; the reluctant leader of the rebellion; must bring together an army against President Snow; while all she holds dear hangs in the balance.,PG-13,True,English,The Hunger Games: Mockingjay - Part 2,USA; Germany,Peter Craig (screenplay); Danny Strong (screenplay); Suzanne Collins (adaptation); Suzanne Collins (novel),65,6.6,Francis Lawrence,20 Nov 2015,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth; Woody Harrelson,2015,Action; Adventure; Sci-Fi,17 wins & 28 nominations.,137 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_SX300.jpg,179576,tt1951266,17,28,0,0,0,0,0,0,0,0
10640,none,Bound by a shared destiny; a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.,PG,True,English; French; Japanese,Tomorrowland,USA; Spain,Damon Lindelof (screenplay); Brad Bird (screenplay); Damon Lindelof (story by); Brad Bird (story by); Jeff Jensen (story by),60,6.5,Brad Bird,22 May 2015,George Clooney; Hugh Laurie; Britt Robertson; Raffey Cassidy,2015,Action; Adventure; Family,2 wins & 16 nominations.,130 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MDc5MjAyNF5BMl5BanBnXkFtZTgwMzU5Mzk1NjE@._V1_SX300.jpg,133442,tt1964418,2,16,0,0,0,0,0,0,0,0
10641,none,When aspiring model Jesse moves to Los Angeles; her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.,R,True,English,The Neon Demon,France; Denmark; USA,Nicolas Winding Refn (story by); Nicolas Winding Refn (screenplay); Mary Laws (screenplay); Polly Stenham (screenplay),51,6.4,Nicolas Winding Refn,24 Jun 2016,Elle Fanning; Karl Glusman; Jena Malone; Bella Heathcote,2016,Horror; Thriller,2 wins & 2 nominations.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTAyOTkxNTQ3NV5BMl5BanBnXkFtZTgwMjQ1NzQxOTE@._V1_SX300.jpg,30440,tt1974419,2,2,0,0,0,0,0,0,0,0
10642,none,In a world where dinosaurs and humans live side-by-side; an Apatosaurus named Arlo makes an unlikely human friend.,PG,True,English,The Good Dinosaur,USA,Bob Peterson (original concept & development by); Peter Sohn (story by); Erik Benson (story by); Meg LeFauve (story by); Kelsey Mann (story by); Bob Peterson (story by); Meg LeFauve (screenplay); Peter Hedges (additional screenplay material by); Adrian Molina (additional screenplay material by),66,6.8,Peter Sohn,25 Nov 2015,Jeffrey Wright; Frances McDormand; Maleah Nipay-Padilla; Ryan Teeple,2015,Animation; Adventure; Comedy,Nominated for 1 Golden Globe. Another 5 wins & 39 nominations.,93 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,69405,tt1979388,5,40,0,0,0,0,1,0,0,0
10643,none,Find out why the birds are so angry. When an island populated by happy; flightless birds is visited by mysterious green piggies; it's up to three unlikely outcasts - Red; Chuck and Bomb - to figure out what the pigs are up to.,PG,True,English,The Angry Birds Movie,Finland; USA,John Cohen (story by); Mikael Hed (story by); Mikko Pöllä (story by); Jon Vitti,43,6.3,Clay Kaytis; Fergal Reilly,20 May 2016,Jason Sudeikis; Josh Gad; Danny McBride; Maya Rudolph,2016,Animation; Action; Adventure,2 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg,43002,tt1985949,0,2,0,0,0,0,0,0,0,0
10645,none,A physicist who invents a time machine must travel back to the past to uncover the truth about his creation and the woman who is trying to steal it.,R,True,English,Synchronicity,USA,Jacob Gentry; Jacob Gentry; Alex Orr (story),39,5.4,Jacob Gentry,22 Jan 2016,Chad McKnight; Brianne Davis; AJ Bowen; Scott Poythress,2015,Mystery; Sci-Fi; Thriller,1 win & 1 nomination.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NDAyOTc4MV5BMl5BanBnXkFtZTgwNjE4Mjk0NzE@._V1_SX300.jpg,5298,tt2049543,1,1,0,0,0,0,0,0,0,0
10649,none,After young Riley is uprooted from her Midwest life and moved to San Francisco; her emotions - Joy; Fear; Anger; Disgust and Sadness - conflict on how best to navigate a new city; house; and school.,PG,True,English,Inside Out,USA,Pete Docter (original story by); Ronnie Del Carmen (original story by); Pete Docter (screenplay); Meg LeFauve (screenplay); Josh Cooley (screenplay); Michael Arndt (additional story material by); Bill Hader (additional dialogue by); Amy Poehler (additional dialogue by); Simon Rich (additional story material by),94,8.2,Pete Docter; Ronnie Del Carmen,19 Jun 2015,Amy Poehler; Phyllis Smith; Richard Kind; Bill Hader,2015,Animation; Adventure; Comedy,Won 1 Oscar. Another 91 wins & 95 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,367651,tt2096673,92,95,0,0,0,1,0,0,0,0
10651,none,A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,R,True,English; German; Serbian,Knight of Cups,USA,Terrence Malick,53,5.7,Terrence Malick,04 Mar 2016,Christian Bale; Cate Blanchett; Natalie Portman; Brian Dennehy,2015,Drama; Romance,3 wins & 3 nominations.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyOTcwODIyNF5BMl5BanBnXkFtZTgwMDE4OTI4NzE@._V1_SX300.jpg,14463,tt2101383,3,3,0,0,0,0,0,0,0,0
10652,none,A young woman grieving the loss of her mother; a famous scream queen from the 1980s; finds herself pulled into the world of her mom's most famous movie. Reunited; the women must fight off the film's maniacal killer.,PG-13,True,English,The Final Girls,USA,M.A. Fortin; Joshua John Miller,59,6.6,Todd Strauss-Schulson,09 Oct 2015,Taissa Farmiga; Malin Akerman; Alexander Ludwig; Nina Dobrev,2015,Comedy; Horror,5 wins & 10 nominations.,88 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4Nzk2NzAzOV5BMl5BanBnXkFtZTgwNjI1NzY4NjE@._V1_SX300.jpg,20636,tt2118624,5,10,0,0,0,0,0,0,0,0
10654,none,In the aftermath of a massive earthquake in California; a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.,PG-13,True,English,San Andreas,USA,Carlton Cuse (screenplay); Andre Fabrizio (story); Jeremy Passmore (story); Carlton Cuse; Andre Fabrizio,43,6.1,Brad Peyton,29 May 2015,Dwayne Johnson; Carla Gugino; Alexandra Daddario; Ioan Gruffudd,2015,Action; Adventure; Drama,10 nominations.,114 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjI4MTgyOTAxOV5BMl5BanBnXkFtZTgwMjQwOTA4NTE@._V1_SX300.jpg,152416,tt2126355,0,10,0,0,0,0,0,0,0,0
10665,none,An alien on the run from his own people makes friends with a girl. He tries to help her on her quest; but can be an interference.,PG,True,English; French,Home,USA,Tom J. Astle (screenplay); Matt Ember (screenplay); Adam Rex (book),55,6.7,Tim Johnson,27 Mar 2015,Jim Parsons; Rihanna; Steve Martin; Jennifer Lopez,2015,Animation; Adventure; Comedy,2 wins & 8 nominations.,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MzU4ODI3Ml5BMl5BanBnXkFtZTgwMzQzODk5NDE@._V1_SX300.jpg,72932,tt2224026,2,8,0,0,0,0,0,0,0,0
10669,none,"Continuing his ""legendary adventures of awesomeness""; Po must face two hugely epic; but different threats: one supernatural and the other a little closer to his home.",PG,True,English; Mandarin,Kung Fu Panda 3,China; USA,Jonathan Aibel; Glenn Berger,66,7.2,Alessandro Carloni; Jennifer Yuh Nelson,29 Jan 2016,Jack Black; Bryan Cranston; Dustin Hoffman; Angelina Jolie,2016,Animation; Action; Adventure,2 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,75976,tt2267968,0,2,0,0,0,0,0,0,0,0
10670,none,Three years after Mike bowed out of the stripper life at the top of his game; he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.,R,True,English,Magic Mike XXL,USA,Reid Carolin,60,5.7,Gregory Jacobs,01 Jul 2015,Channing Tatum; Juan Piedrahita; Sharon Blackwood; Alison Faulk,2015,Comedy; Drama; Music,2 wins & 1 nomination.,115 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDMyODU3ODk3Ml5BMl5BanBnXkFtZTgwNDc1ODkwNjE@._V1_SX300.jpg,40135,tt2268016,2,1,0,0,0,0,0,0,0,0
10673,none,The friendly but forgetful blue tang fish begins a search for her long-lost parents; and everyone learns a few things about the real meaning of family along the way.,PG,True,English; Indonesian,Finding Dory,USA,Andrew Stanton (original story by); Andrew Stanton (screenplay); Victoria Strouse (screenplay); Bob Peterson (additional screenplay material by); Angus MacLane (additional story material by),77,7.6,Andrew Stanton; Angus MacLane,17 Jun 2016,Ellen DeGeneres; Albert Brooks; Ed O'Neill; Kaitlin Olson,2016,Animation; Adventure; Comedy,2 wins & 2 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,92723,tt2277860,2,2,0,0,0,0,0,0,0,0
10674,none,When a diabolical pirate above the sea steals the secret Krabby Patty formula; SpongeBob and his nemesis Plankton must team up in order to get it back.,PG,True,English,The SpongeBob Movie: Sponge Out of Water,USA,"Glenn Berger (screenplay); Jonathan Aibel (screenplay); Stephen Hillenburg (story); Paul Tibbitt (story); Stephen Hillenburg (series ""SpongeBob SquarePants"")",62,6.0,Paul Tibbitt; Mike Mitchell,06 Feb 2015,Antonio Banderas; Eric Bauza; Tim Conway; Eddie Deezen,2015,Animation; Adventure; Comedy,1 win & 6 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYyNDczNTE0MF5BMl5BanBnXkFtZTgwNjkzNDYxMzE@._V1_SX300.jpg,35174,tt2279373,1,6,0,0,0,0,0,0,0,0
10676,none,Minions Stuart; Kevin and Bob are recruited by Scarlet Overkill; a super-villain who; alongside her inventor husband Herb; hatches a plot to take over the world.,PG,True,English; Spanish,Minions,USA,Brian Lynch,56,6.4,Kyle Balda; Pierre Coffin,10 Jul 2015,Sandra Bullock; Jon Hamm; Michael Keaton; Allison Janney,2015,Animation; Action; Adventure,Nominated for 1 BAFTA Film Award. Another 1 win & 18 nominations.,91 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,148487,tt2293640,1,19,0,0,0,0,0,0,1,0
10677,none,Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run; desperately trying to save her younger brother.,PG-13,True,English,The 5th Wave,USA,Susannah Grant (screenplay); Akiva Goldsman (screenplay); Jeff Pinkner (screenplay); Rick Yancey (novel),33,5.2,J Blakeson,22 Jan 2016,Chloë Grace Moretz; Matthew Zuk; Gabriela Lopez; Bailey Anne Borders,2016,Action; Adventure; Sci-Fi,1 nomination.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,63160,tt2304933,0,1,0,0,0,0,0,0,0,0
10678,none,20 years after a horrific accident during a small town school play; students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.,R,True,English,The Gallows,USA,Chris Lofing; Travis Cluff,30,4.2,Travis Cluff; Chris Lofing,10 Jul 2015,Reese Mishler; Pfeifer Brown; Ryan Shoos; Cassidy Gifford,2015,Horror; Thriller,1 nomination.,81 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MTMyOTkwM15BMl5BanBnXkFtZTgwOTQzNjc3NTE@._V1_SX300.jpg,14385,tt2309260,0,1,0,0,0,0,0,0,0,0
10679,none,Literature student Anastasia Steele's life changes forever when she meets handsome; yet tormented; billionaire Christian Grey.,R,True,English,Fifty Shades of Grey,USA,Kelly Marcel (screenplay); E.L. James (novel),46,4.1,Sam Taylor-Johnson,13 Feb 2015,Dakota Johnson; Jamie Dornan; Jennifer Ehle; Eloise Mumford,2015,Drama; Romance; Thriller,Nominated for 1 Oscar. Another 9 wins & 18 nominations.,125 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_SX300.jpg,225148,tt2322441,9,19,0,0,1,0,0,0,0,0
10684,none,A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive; Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.,PG-13,True,English; Spanish; Italian; German; French,Spectre,UK; USA,John Logan (screenplay); Neal Purvis (screenplay); Robert Wade (screenplay); Jez Butterworth (screenplay); John Logan (story); Neal Purvis (story); Robert Wade (story); Ian Fleming (characters),60,6.8,Sam Mendes,06 Nov 2015,Daniel Craig; Christoph Waltz; Léa Seydoux; Ralph Fiennes,2015,Action; Adventure; Thriller,Won 1 Oscar. Another 7 wins & 29 nominations.,148 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,289058,tt2379713,8,29,0,0,0,1,0,0,0,0
10685,none,An Irish immigrant lands in 1950s Brooklyn; where she quickly falls into a romance with a local. When her past catches up with her; however; she must choose between two countries and the lives that exist within.,PG-13,True,English,Brooklyn,UK; Canada; Ireland,Nick Hornby; Colm Tóibín (novel),87,7.5,John Crowley,25 Nov 2015,Saoirse Ronan; Hugh Gormley; Brid Brennan; Maeve McGrath,2015,Drama; Romance,Nominated for 3 Oscars. Another 32 wins & 141 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,83918,tt2381111,32,144,0,0,3,0,0,0,0,0
10687,none,Ethan and team take on their most impossible mission yet; eradicating the Syndicate - an International rogue organization as highly skilled as they are; committed to destroying the IMF.,PG-13,True,English; Swedish; German,Mission: Impossible - Rogue Nation,China; Hong Kong; USA,Christopher McQuarrie (screenplay); Christopher McQuarrie (story); Drew Pearce (story); Bruce Geller (television series),75,7.4,Christopher McQuarrie,31 Jul 2015,Tom Cruise; Jeremy Renner; Simon Pegg; Rebecca Ferguson,2015,Action; Adventure; Thriller,2 wins & 18 nominations.,131 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDI2MzU2MF5BMl5BanBnXkFtZTgwNTExNTU5NDE@._V1_SX300.jpg,240498,tt2381249,2,18,0,0,0,0,0,0,0,0
10690,none,When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron; things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.,PG-13,True,English,Avengers: Age of Ultron,USA,Joss Whedon; Stan Lee (based on the Marvel comics by); Jack Kirby (based on the Marvel comics by),66,7.5,Joss Whedon,01 May 2015,Robert Downey Jr.; Chris Hemsworth; Mark Ruffalo; Chris Evans,2015,Action; Adventure; Sci-Fi,5 wins & 41 nominations.,141 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,479164,tt2395427,5,41,0,0,0,0,0,0,0,0
10697,none,Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis; while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.,G,True,English,The Peanuts Movie,USA,Bryan Schulz; Craig Schulz; Cornelius Uliano; Charles M. Schulz (comic strip),67,7.1,Steve Martino,06 Nov 2015,Trombone Shorty; Rebecca Bloom; Anastasia Bredikhina; Francesca Capaldi,2015,Animation; Adventure; Comedy,Nominated for 1 Golden Globe. Another 1 win & 44 nominations.,88 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,30698,tt2452042,1,45,0,0,0,0,1,0,0,0
10699,none,Using a special camera that can see spirits; a family must protect their daughter from an evil entity with a sinister plan.,R,True,English; German; Ukrainian,Paranormal Activity: The Ghost Dimension,USA,"Jason Pagan (screenplay); Andrew Deutschman (screenplay); Adam Robitel (screenplay); Gavin Heffernan (screenplay); Brantley Aufill (story); Jason Pagan (story); Andrew Deutschman (story); Oren Peli (based on the film ""Paranormal Activity"")",30,4.6,Gregory Plotkin,23 Oct 2015,Chris J. Murray; Brit Shaw; Ivy George; Dan Gill,2015,Horror,2 nominations.,88 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxMjE5OTA3OF5BMl5BanBnXkFtZTgwMDAxNTg4NjE@._V1_SX300.jpg,16419,tt2473510,0,2,0,0,0,0,0,0,0,0
10700,none,Three decades after the defeat of the Galactic Empire; a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them; along with the help of the Resistance.,PG-13,True,English,Star Wars: The Force Awakens,USA,Lawrence Kasdan; J.J. Abrams; Michael Arndt; George Lucas (based on characters created by),81,8.2,J.J. Abrams,18 Dec 2015,Harrison Ford; Mark Hamill; Carrie Fisher; Adam Driver,2015,Action; Adventure; Fantasy,Nominated for 5 Oscars. Another 47 wins & 106 nominations.,138 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg,595345,tt2488496,47,111,0,0,5,0,0,0,0,0
10703,none,Dracula and his friends try to bring out the monster in his half human; half vampire grandson in order to keep Mavis from leaving the hotel.,PG,True,English,Hotel Transylvania 2,USA,Robert Smigel; Adam Sandler,44,6.7,Genndy Tartakovsky,25 Sep 2015,Adam Sandler; Andy Samberg; Selena Gomez; Kevin James,2015,Animation; Comedy; Family,1 win & 10 nominations.,89 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNzc4NzEyMV5BMl5BanBnXkFtZTgwMTAxMDQ2NTE@._V1_SX300.jpg,62766,tt2510894,1,10,0,0,0,0,0,0,0,0
10704,none,A linguist is recruited by the military to assist in translating alien communications.,PG-13,True,English,Arrival,USA,"Eric Heisserer (screenplay); Ted Chiang (based on the short story ""Story of Your Life"" written by)",81,8.5,Denis Villeneuve,11 Nov 2016,Amy Adams; Jeremy Renner; Michael Stuhlbarg; Forest Whitaker,2016,Drama; Mystery; Sci-Fi,1 nomination.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,2480,tt2543164,0,1,0,0,0,0,0,0,0,0
10707,none,In the aftermath of a family tragedy; an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past; she is swept away to a house that breathes; bleeds - and remembers.,R,True,English,Crimson Peak,USA; Canada,Guillermo del Toro; Matthew Robbins,66,6.6,Guillermo del Toro,16 Oct 2015,Mia Wasikowska; Jessica Chastain; Tom Hiddleston; Charlie Hunnam,2015,Drama; Fantasy; Horror,6 wins & 33 nominations.,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY2OTI5MjAyOV5BMl5BanBnXkFtZTgwNTkzMjQ0NDE@._V1_SX300.jpg,89910,tt2554274,6,33,0,0,0,0,0,0,0,0
10708,none,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,PG,True,English,The Second Best Exotic Marigold Hotel,UK; USA,Ol Parker (screenplay); Ol Parker (screen story by); John Madden (screen story by),51,6.6,John Madden,06 Mar 2015,Dev Patel; Maggie Smith; Danny Mahoney; David Strathairn,2015,Comedy; Drama,1 nomination.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MjkxNjc0OV5BMl5BanBnXkFtZTgwMjc0NDg0NDE@._V1_SX300.jpg,23291,tt2555736,0,1,0,0,0,0,0,0,0,0
10711,none,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,PG,True,English,Alice Through the Looking Glass,USA; UK,Linda Woolverton (screenplay); Lewis Carroll (books),34,6.3,James Bobin,27 May 2016,Johnny Depp; Mia Wasikowska; Helena Bonham Carter; Anne Hathaway,2016,Adventure; Family; Fantasy,2 nominations.,113 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg,38863,tt2567026,0,2,0,0,0,0,0,0,0,0
10713,none,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,R,True,English,Hell or High Water,USA,Taylor Sheridan (screenplay),88,8.0,David Mackenzie,26 Aug 2016,Dale Dickey; Ben Foster; Chris Pine; William Sterchi,2016,Crime; Drama,3 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,22240,tt2582782,0,3,0,0,0,0,0,0,0,0
10720,none,A father and son go on the run; pursued by the government and a cult drawn to the child's special powers.,PG-13,True,English,Midnight Special,USA; Greece,Jeff Nichols,76,6.7,Jeff Nichols,21 Apr 2016,Michael Shannon; Joel Edgerton; Kirsten Dunst; Adam Driver,2016,Adventure; Drama; Sci-Fi,1 win & 1 nomination.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNDcyNzkyOV5BMl5BanBnXkFtZTgwNzI1NzkyNzE@._V1_SX300.jpg,39436,tt2649554,1,1,0,0,0,0,0,0,0,0
10721,none,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,PG-13,True,English,Me Before You,UK; USA,Jojo Moyes (screenplay); Jojo Moyes (novel),51,7.5,Thea Sharrock,03 Jun 2016,Sam Claflin; Vanessa Kirby; Emilia Clarke; Eileen Dunwoodie,2016,Drama; Romance,1 win & 1 nomination.,110 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_SX300.jpg,84815,tt2674426,1,1,0,0,0,0,0,0,0,0
10727,none,A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart; not everyone she screwed over is so quick to forgive and forget.,R,True,English,The Boss,USA,Ben Falcone (screenplay); Steve Mallory; Melissa McCarthy (screenplay),40,5.4,Ben Falcone,08 Apr 2016,Melissa McCarthy; Kristen Bell; Peter Dinklage; Ella Anderson,2016,Comedy,1 nomination.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzNTUwNDU0OV5BMl5BanBnXkFtZTgwNzU5NTAwODE@._V1_SX300.jpg,23063,tt2702724,0,1,0,0,0,0,0,0,0,0
10728,none,The quiet life of a terrier named Max is upended when his owner takes in Duke; a stray whom Max instantly dislikes.,PG,True,English,The Secret Life of Pets,USA; Japan,Cinco Paul; Ken Daurio; Brian Lynch; Simon Rich (additional characters created by),61,6.6,Chris Renaud; Yarrow Cheney,08 Jul 2016,Louis C.K.; Eric Stonestreet; Kevin Hart; Jenny Slate,2016,Animation; Adventure; Comedy,1 win & 1 nomination.,87 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,75106,tt2709768,1,1,0,0,0,0,0,0,0,0
10729,none,A climbing expedition on Mt. Everest is devastated by a severe snow storm.,PG-13,True,English; Russian,Everest,UK; USA; Iceland,William Nicholson (screenplay); Simon Beaufoy (screenplay),64,7.1,Baltasar Kormákur,25 Sep 2015,Jason Clarke; Ang Phula Sherpa; Thomas M. Wright; Martin Henderson,2015,Adventure; Biography; Drama,7 nominations.,121 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzMjIxOTIxMl5BMl5BanBnXkFtZTgwNTk4NDI0NjE@._V1_SX300.jpg,142734,tt2719848,0,7,0,0,0,0,0,0,0,0
10732,none,In 1959; a young journalist ventures to Havana; Cuba to meet his idol; the legendary Ernest Hemingway who helped him find his literary voice; while the Cuban Revolution comes to a boil around them.,R,True,English,Papa Hemingway in Cuba,Canada; USA,Denne Bart Petitclerc,37,6.3,Bob Yari,29 Apr 2016,Giovanni Ribisi; Joely Richardson; Adrian Sparks; Minka Kelly,2015,Biography; Drama,2 wins.,110 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5OTMzNTY4Nl5BMl5BanBnXkFtZTgwNTc5ODkzODE@._V1_SX300.jpg,182,tt2749282,2,0,0,0,0,0,0,0,0,0
10736,none,Don Champagne seems to have it all but when his wife; Mona; learns of Don's affair with a pretty new salesgirl; Mona will stop at nothing to maintain their storybook life.,R,True,English; French,Home Sweet Hell,USA,Carlo Allen; Ted Elrick; Tom Lavagnino,22,5.4,Anthony Burns,03 Feb 2015,Katherine Heigl; Patrick Wilson; Madison Wolfe; Aiden Flowers,2015,Comedy; Crime; Thriller,1 nomination.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODkxMDIyODMyN15BMl5BanBnXkFtZTgwMDc5MjkxNDE@._V1_SX300.jpg,10654,tt2802136,0,1,0,0,0,0,0,0,0,0
10742,none,When Shaun decides to take the day off and have some fun; he gets a little more action than he bargained for. A mix up with the Farmer; a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.,PG,True,None,Shaun the Sheep Movie,UK; France,Mark Burton; Richard Starzak; Nick Park (characters created by),81,7.4,Mark Burton; Richard Starzak,05 Aug 2015,Justin Fletcher; John Sparkes; Omid Djalili; Richard Webber,2015,Animation; Adventure; Comedy,Nominated for 1 Oscar. Another 2 wins & 49 nominations.,85 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,25237,tt2872750,2,50,0,0,1,0,0,0,0,0
